Customer_Identifier|Fund_Identifier|Period_Ending|Relationship_Started|Service_Provider_Identifier|Service_Type|TM_AUM_Under_Authority
1|129540|3/31/2023||19||
1|129540|3/31/2023||908||93896133.14
1|129540|3/31/2023||22||
1|129540|3/31/2023||29||
1|129540|3/31/2023||34||
1|129540|3/31/2023||66||
1|129540|3/31/2023||71||
1|129546|3/31/2023||19||
1|129546|3/31/2023||904||68742688.68
1|129546|3/31/2023||51||
1|129546|3/31/2023||66||
1|129545|3/31/2023||19||
1|129545|3/31/2023||909||89438582.26
1|129545|3/31/2023||60||
1|129545|3/31/2023||66||
1|129545|3/31/2023||70||
1|129544|3/31/2023||19||
1|129544|3/31/2023||907||90621138.32
1|129544|3/31/2023||2||
1|129544|3/31/2023||3||
1|129544|3/31/2023||22||
1|129544|3/31/2023||26||
1|129544|3/31/2023||66||
1|129543|3/31/2023||19||
1|129543|3/31/2023||95||92299533.54
1|129543|3/31/2023||20||
1|129543|3/31/2023||26||
1|129543|3/31/2023||28||
1|129543|3/31/2023||66||
1|129543|3/31/2023||112||
1|129541|3/31/2023||19||
1|129541|3/31/2023||905||84862450.3
1|129541|3/31/2023||1||
1|129541|3/31/2023||20||
1|129541|3/31/2023||22||
1|129541|3/31/2023||26||
1|129541|3/31/2023||28||
1|129541|3/31/2023||32||
1|129541|3/31/2023||34||
1|129541|3/31/2023||35||
1|129541|3/31/2023||36||
1|129541|3/31/2023||62||
1|129541|3/31/2023||66||
1|129541|3/31/2023||98||
