Customer_Identifier|Fund_Identifier|Period_Ending|Relationship_Started|Service_Provider_Identifier|Service_Type|TM_AUM_Under_Authority
1|129540|3/31/2023||19||
1|129540|3/31/2023||908||94085642.97
1|129540|3/31/2023||22||
1|129540|3/31/2023||29||
1|129540|3/31/2023||34||
1|129540|3/31/2023||66||
1|129540|3/31/2023||71||
1|129541|3/31/2023||19||
1|129541|3/31/2023||905||86071968.57
1|129541|3/31/2023||1||
1|129541|3/31/2023||20||
1|129541|3/31/2023||22||
1|129541|3/31/2023||26||
1|129541|3/31/2023||28||
1|129541|3/31/2023||32||
1|129541|3/31/2023||34||
1|129541|3/31/2023||35||
1|129541|3/31/2023||36||
1|129541|3/31/2023||62||
1|129541|3/31/2023||66||
1|129541|3/31/2023||98||
