Custodian_Identifier|Customer_Identifier|Fund_Identifier|Mark_to_Market_Value|Market_Value|Period_Date|Position_Identifier|Position_Type|Security_Identifier|Cost|YTD GL
|1|10035918|0|0|3/31/2023|1037648455|Long|1037648455|0|99884.3797
|1|10035918|0|0|3/31/2023|1040303513||1040303513|0|0
|1|10035918|0|0|3/31/2023|1040366367||1040366367|0|0
|1|10035918|0|0|3/31/2023|1040552777||1040552777|0|0
|1|10035918|0|0|3/31/2023|1040359112||1040359112|0|0
|1|10035918|0|0|3/31/2023|1040617602||1040617602|0|0
|1|10035918|0|0|3/31/2023|1040585496||1040585496|0|0
|1|10035918|0|0|3/31/2023|1040575584||1040575584|0|0
|1|10035918|0|0|3/31/2023|1040431059||1040431059|0|0
|1|10035918|0|0|3/31/2023|1040681378||1040681378|0|0
|1|10035918|0|0|3/31/2023|1040880756||1040880756|0|0
|1|10035918|0|0|3/31/2023|1040668276||1040668276|0|0
|1|10035918|0|0|3/31/2023|1040506401||1040506401|0|0
|1|10035918|0|0|3/31/2023|1040858424||1040858424|0|0
|1|10035918|0|0|3/31/2023|1040754697||1040754697|0|0
|1|10035918|0|0|3/31/2023|1040692403||1040692403|0|0
|1|10035918|0|0|3/31/2023|1040660810||1040660810|0|0
|1|10035918|0|0|3/31/2023|1041004248||1041004248|0|0
|1|10035918|0|0|3/31/2023|1041079287||1041079287|0|0
|1|10035918|0|0|3/31/2023|1040845703||1040845703|0|0
|1|10035918|0|0|3/31/2023|1040644471||1040644471|0|0
|1|10035918|0|0|3/31/2023|1041289113||1041289113|0|0
|1|10035918|0|0|3/31/2023|1040803103||1040803103|0|0
|1|10035918|0|0|3/31/2023|1040896453||1040896453|0|0
|1|10035918|0|0|3/31/2023|1040704905||1040704905|0|0
|1|10035918|0|0|3/31/2023|1041836958||1041836958|0|0
|1|10035918|0|0|3/31/2023|1041178382||1041178382|0|0
|1|10035918|0|0|3/31/2023|1041245886||1041245886|0|0
|1|10035918|0|0|3/31/2023|1040828670||1040828670|0|0
|1|10035918|0|0|3/31/2023|1040910599||1040910599|0|0
|1|10035918|0|0|3/31/2023|1040787345||1040787345|0|0
|1|10035918|0|0|3/31/2023|1041207922||1041207922|0|0
|1|10035918|0|0|3/31/2023|1040928179||1040928179|0|0
|1|10035918|0|0|3/31/2023|1041123484||1041123484|0|0
|1|10035918|0|0|3/31/2023|1040823097||1040823097|0|0
|1|10035918|0|0|3/31/2023|1041192233||1041192233|0|0
|1|10035918|0|0|3/31/2023|1040987101||1040987101|0|0
|1|10035918|0|0|3/31/2023|1041351997||1041351997|0|0
|1|10035918|0|0|3/31/2023|1040950395||1040950395|0|0
|1|10035918|0|0|3/31/2023|1041397804||1041397804|0|0
|1|10035918|0|0|3/31/2023|1041157437||1041157437|0|0
|1|10035918|0|0|3/31/2023|1041413043||1041413043|0|0
|1|10035918|0|0|3/31/2023|1041028718||1041028718|0|0
|1|10035918|0|0|3/31/2023|1041437545|Short|1041437545|0|0
|1|10035918|0|0|3/31/2023|1041066985||1041066985|0|0
|1|10035918|0|0|3/31/2023|1041360870||1041360870|0|0
|1|10035918|0|0|3/31/2023|1041230754||1041230754|0|0
|1|10035918|0|0|3/31/2023|1040397948||1040397948|0|0
|1|10035918|0|0|3/31/2023|1040713092||1040713092|0|0
|1|10035918|0|0|3/31/2023|1040741671||1040741671|0|0
|1|10035918|0|0|3/31/2023|1040965209||1040965209|0|0
|1|10035918|0|0|3/31/2023|1041041418||1041041418|0|0
|1|10035918|0|0|3/31/2023|1041054754||1041054754|0|0
|1|10035918|0|0|3/31/2023|1041141038||1041141038|0|0
|1|10035918|0|0|3/31/2023|1041226338||1041226338|0|0
|1|10035918|0|0|3/31/2023|1041317024||1041317024|0|0
|1|10035918|0|0|3/31/2023|1041382256||1041382256|0|0
|1|10035918|0|0|3/31/2023|1040431304||1040431304|0|0
|1|10035918|0|0|3/31/2023|1040845704||1040845704|0|0
|1|10035918|0|0|3/31/2023|1037648458|Long|1037648458|0|85698.309
|1|10035918|0|0|3/31/2023|1040303813||1040303813|0|0
|1|10035918|0|0|3/31/2023|1040617591||1040617591|0|0
|1|10035918|0|0|3/31/2023|1040950437||1040950437|0|0
|1|10035918|0|0|3/31/2023|1040660811||1040660811|0|0
|1|10035918|0|0|3/31/2023|1040358996||1040358996|0|0
|1|10035918|0|0|3/31/2023|1040668423||1040668423|0|0
|1|10035918|0|0|3/31/2023|1041004498||1041004498|0|0
|1|10035918|0|0|3/31/2023|1040681379||1040681379|0|0
|1|10035918|0|0|3/31/2023|1040575472||1040575472|0|0
|1|10035918|0|0|3/31/2023|1040705078||1040705078|0|0
|1|10035918|0|0|3/31/2023|1041157707||1041157707|0|0
|1|10035918|0|0|3/31/2023|1040692228||1040692228|0|0
|1|10035918|0|0|3/31/2023|1040366650||1040366650|0|0
|1|10035918|0|0|3/31/2023|1040823334||1040823334|0|0
|1|10035918|0|0|3/31/2023|1040754724||1040754724|0|0
|1|10035918|0|0|3/31/2023|1040585612||1040585612|0|0
|1|10035918|0|0|3/31/2023|1040506403||1040506403|0|0
|1|10035918|0|0|3/31/2023|1040880645||1040880645|0|0
|1|10035918|0|0|3/31/2023|1041054931||1041054931|0|0
|1|10035918|0|0|3/31/2023|1040644377||1040644377|0|0
|1|10035918|0|0|3/31/2023|1040896341||1040896341|0|0
|1|10035918|0|0|3/31/2023|1041028719||1041028719|0|0
|1|10035918|0|0|3/31/2023|1041067122||1041067122|0|0
|1|10035918|0|0|3/31/2023|1040858714||1040858714|0|0
|1|10035918|0|0|3/31/2023|1040741496||1040741496|0|0
|1|10035918|0|0|3/31/2023|1041178383||1041178383|0|0
|1|10035918|0|0|3/31/2023|1041123775||1041123775|0|0
|1|10035918|0|0|3/31/2023|1040965405||1040965405|0|0
|1|10035918|0|0|3/31/2023|1041079556||1041079556|0|0
|1|10035918|0|0|3/31/2023|1041041307||1041041307|0|0
|1|10035918|0|0|3/31/2023|1041226574||1041226574|0|0
|1|10035918|0|0|3/31/2023|1041246083||1041246083|0|0
|1|10035918|0|0|3/31/2023|1040987102||1040987102|0|0
|1|10035918|0|0|3/31/2023|1041382257||1041382257|0|0
|1|10035918|0|0|3/31/2023|1041397922||1041397922|0|0
|1|10035918|0|0|3/31/2023|1041140927||1041140927|0|0
|1|10035918|0|0|3/31/2023|1040397950||1040397950|0|0
|1|10035918|0|0|3/31/2023|1041207847||1041207847|0|0
|1|10035918|0|0|3/31/2023|1040803104||1040803104|0|0
|1|10035918|0|0|3/31/2023|1041289006||1041289006|0|0
|1|10035918|0|0|3/31/2023|1040828601||1040828601|0|0
|1|10035918|0|0|3/31/2023|1041230917||1041230917|0|0
