Customer_Identifier|Fund_Identifier|Period_Ending|Relationship_Started|Service_Provider_Identifier|Service_Type|TM_AUM_Under_Authority
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||21278.27
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-19733.88
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-7200
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-358.4508
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-94010.9414
1|10035918|3/31/2023||||145055.9448
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||56147.2133
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-15455.82
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||3435.0152
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-147467.2434
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-28569.1723
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||1491.1116
1|10035918|3/31/2023||||-74634.4489
1|10035918|3/31/2023||||3690.3275
1|10035918|3/31/2023||||26365.9545
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-60894.182
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||83.6386
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||327961.9507
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||18339.433
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-5250.0773
1|10035918|3/31/2023||||-66664.3801
1|10035918|3/31/2023||||15289.0361
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||64977.3623
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||30403.3163
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||23989.1192
1|10035918|3/31/2023||||16094.9126
1|10035918|3/31/2023||||815.7174
1|10035918|3/31/2023||||97604.7287
1|10035918|3/31/2023||||10230.8709
1|10035918|3/31/2023||||19040.8629
1|10035918|3/31/2023||||-12761.4121
1|10035918|3/31/2023||||7243.4306
1|10035918|3/31/2023||||20288.2275
1|10035918|3/31/2023||||-24311.9514
1|10035918|3/31/2023||||61969.6857
1|10035918|3/31/2023||||-70612.2503
1|10035918|3/31/2023||||-14969.5823
1|10035918|3/31/2023||||15152.6411
1|10035918|3/31/2023||||38665.319
1|10035918|3/31/2023||||38302.5661
1|10035918|3/31/2023||||-7691.5176
1|10035918|3/31/2023||||128675.2839
1|10035918|3/31/2023||||-83084.2325
1|10035918|3/31/2023||||-66348.4983
1|10035918|3/31/2023||||29217.7704
1|10035918|3/31/2023||||-35602.0035
1|10035918|3/31/2023||||-13530.6123
1|10035918|3/31/2023||||5022.7843
1|10035918|3/31/2023||||221118.4534
1|10035918|3/31/2023||||14088.8737
1|10035918|3/31/2023||||-15073.7352
1|10035918|3/31/2023||||-19197.956
1|10035918|3/31/2023||||26027.4714
1|10035918|3/31/2023||||221.7975
1|10035918|3/31/2023||||-58729.5737
1|10035918|3/31/2023||||131416.1984
1|10035918|3/31/2023||||7553.6627
1|10035918|3/31/2023||||-9978.3644
1|10035918|3/31/2023||||18855.5486
1|10035918|3/31/2023||||-12302.4526
1|10035918|3/31/2023||||-49856.7365
1|10035918|3/31/2023||||31224.4648
1|10035918|3/31/2023||||-24051.9939
1|10035918|3/31/2023||||48933.8185
1|10035918|3/31/2023||||-74103.7049
1|10035918|3/31/2023||||200596.5048
1|10035918|3/31/2023||||-62937.9477
1|10035918|3/31/2023||||143442.2684
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||10495.4362
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-8414.84
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-22918.1952
1|10035918|3/31/2023||||6966.3966
1|10035918|3/31/2023||||-4129.1989
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||537.003
1|10035918|3/31/2023||||66.8344
1|10035918|3/31/2023||||-7371.4801
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-6293.8693
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-16893.2993
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||128465.5464
1|10035918|3/31/2023||||-37999.159
1|10035918|3/31/2023||||-28508.6504
1|10035918|3/31/2023||||20847.6602
1|10035918|3/31/2023||||-196604.794
1|10035918|3/31/2023||||-31002.6771
1|10035918|3/31/2023||||-24392.4538
1|10035918|3/31/2023||||-20184.911
1|10035918|3/31/2023||||-27827.2147
1|10035918|3/31/2023||||-14301.5701
1|10035918|3/31/2023||||-137517.7316
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-7513.25
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||-2565.41
1|10035918|3/31/2023||||-936
1|10035918|3/31/2023||||-2009.25
1|10035918|3/31/2023||||-1093.93
1|10035918|3/31/2023||||-976.72
1|10035918|3/31/2023||||-279.06
1|10035918|3/31/2023||||-32429.41
1|10035918|3/31/2023||||-5708.69
1|10035918|3/31/2023||||-334.88
1|10035918|3/31/2023||||-2146.65
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
1|10035918|3/31/2023||||0
